timeStamp,blockNumber,gasPrice
2022-01-01 0:00,13916330,106571823993 
2022-01-01 1:00,13916451,104483813926 
2022-01-01 2:00,13916705,87860477857 
2022-01-01 3:00,13916990,151069757261 
2022-01-01 4:00,13917266,140800789260 
2022-01-01 5:00,13917526,103848177587 
2022-01-01 6:00,13917761,70573438323 
2022-01-01 7:00,13918032,71026728551 
2022-01-01 8:00,13918316,88999562769 
2022-01-01 9:00,13918591,101937470173 
2022-01-01 10:00,13918871,101607474610 
2022-01-01 11:00,13919163,62404471754 
2022-01-01 12:00,13919432,62747130562 
2022-01-01 13:00,13919689,59694848092 
2022-01-01 14:00,13919969,66543296018 
2022-01-01 15:00,13920224,121327003447 
2022-01-01 16:00,13920500,96742977417 
2022-01-01 17:00,13920747,97853439938 
2022-01-01 18:00,13921021,77106300222 
2022-01-01 19:00,13921300,85942279588 
2022-01-01 20:00,13921570,96361053445 
2022-01-01 21:00,13921841,102982686565 
2022-01-01 22:00,13922125,110031415878 
2022-01-01 23:00,13922379,107787995268 
2022-01-02 0:00,13922675,114189797790 
2022-01-02 1:00,13922941,124929619237 
2022-01-02 2:00,13923217,127568104759 
2022-01-02 3:00,13923478,122610140588 
2022-01-02 4:00,13923747,85115928325 
2022-01-02 5:00,13924016,82822911354 
2022-01-02 6:00,13924288,87289063582 
2022-01-02 7:00,13924566,79365706873 
2022-01-02 8:00,13924824,72148536652 
2022-01-02 9:00,13925085,81156134941 
2022-01-02 10:00,13925337,62620249689 
2022-01-02 11:00,13925608,68477184514 
2022-01-02 12:00,13925844,68928515609 
2022-01-02 13:00,13926114,113671713760 
2022-01-02 14:00,13926400,71944021713 
2022-01-02 15:00,13926700,88533580358 
2022-01-02 16:00,13926992,84169095137 
2022-01-02 17:00,13927273,105855843091 
2022-01-02 18:00,13927550,163878199732 
2022-01-02 19:00,13927804,142386572143 
2022-01-02 20:00,13928060,147251516250 
2022-01-02 21:00,13928348,164862740444 
2022-01-02 22:00,13928622,120047341778 
2022-01-02 23:00,13928889,105261798083 
2022-01-03 0:00,13929170,127251798326 
2022-01-03 1:00,13929455,88840640681 
2022-01-03 2:00,13929749,109790522183 
2022-01-03 3:00,13929997,138812598808 
2022-01-03 4:00,13930256,95961524661 
2022-01-03 5:00,13930518,84306623489 
2022-01-03 6:00,13930804,195432023713 
2022-01-03 7:00,13931055,180085586172 
2022-01-03 8:00,13931316,77308072107 
2022-01-03 9:00,13931590,85277834632 
2022-01-03 10:00,13931820,80996606291 
2022-01-03 11:00,13932075,77341530910 
2022-01-03 12:00,13932343,75823551152 
2022-01-03 13:00,13932611,86785996151 
2022-01-03 14:00,13932890,122886797632 
2022-01-03 15:00,13933151,120212153027 
2022-01-03 16:00,13933423,128199423845 
2022-01-03 17:00,13933724,131613956165 
2022-01-03 18:00,13933971,110742135199 
2022-01-03 19:00,13934261,117346433338 
2022-01-03 20:00,13934534,162237460330 
2022-01-03 21:00,13934791,139910917598 
2022-01-03 22:00,13935069,136095992489 
2022-01-03 23:00,13935373,147139764722 
2022-01-04 0:00,13935628,145688689490 
2022-01-04 1:00,13935918,155520390318 
2022-01-04 2:00,13936182,194441024835 
2022-01-04 3:00,13936440,118542139411 
2022-01-04 4:00,13936695,113803626965 
2022-01-04 5:00,13936938,123819939932 
2022-01-04 6:00,13937232,91609540134 
2022-01-04 7:00,13937509,80568963729 
2022-01-04 8:00,13937795,95915032903 
2022-01-04 9:00,13938061,80230544239 
2022-01-04 10:00,13938354,96790528437 
2022-01-04 11:00,13938592,94510937020 
2022-01-04 12:00,13938870,100435946654 
2022-01-04 13:00,13939111,95395933851 
2022-01-04 14:00,13939379,98366343415 
2022-01-04 15:00,13939643,103001011825 
2022-01-04 16:00,13939932,138373053173 
2022-01-04 17:00,13940184,247612631659 
2022-01-04 18:00,13940435,226117854001 
2022-01-04 19:00,13940714,229520638134 
2022-01-04 20:00,13940988,168092669391 
2022-01-04 21:00,13941283,173052019181 
2022-01-04 22:00,13941569,147402497470 
2022-01-04 23:00,13941838,153149720549 
2022-01-05 0:00,13942122,203942315742 
2022-01-05 1:00,13942393,132250664226 
2022-01-05 2:00,13942680,153610096185 
2022-01-05 3:00,13942932,143533222123 
2022-01-05 4:00,13943186,151380345205 
2022-01-05 5:00,13943430,106784364119 
2022-01-05 6:00,13943711,128062879295 
2022-01-05 7:00,13943959,100836365695 
2022-01-05 8:00,13944238,140419603098 
2022-01-05 9:00,13944511,93394633129 
2022-01-05 10:00,13944797,92422930707 
2022-01-05 11:00,13945053,106522806308 
2022-01-05 12:00,13945305,116385216917 
2022-01-05 13:00,13945574,117123406725 
2022-01-05 14:00,13945857,160799994143 
2022-01-05 15:00,13946111,161955796145 
2022-01-05 16:00,13946369,134902317819 
2022-01-05 17:00,13946656,238433745146 
2022-01-05 18:00,13946932,259099175238 
2022-01-05 19:00,13947205,183370911912 
2022-01-05 20:00,13947475,221389031765 
2022-01-05 21:00,13947721,209301349877 
2022-01-05 22:00,13948011,187399299785 
2022-01-05 23:00,13948311,161331870627 
2022-01-06 0:00,13948583,157922764329 
2022-01-06 1:00,13948842,145491776262 
2022-01-06 2:00,13949106,160715216144 
2022-01-06 3:00,13949370,183456665922 
2022-01-06 4:00,13949607,148910693237 
2022-01-06 5:00,13949875,147245672328 
2022-01-06 6:00,13950148,187411980080 
2022-01-06 7:00,13950401,120492828675 
2022-01-06 8:00,13950675,119750092645 
2022-01-06 9:00,13950929,164303091718 
2022-01-06 10:00,13951171,115352998134 
2022-01-06 11:00,13951443,117751130114 
2022-01-06 12:00,13951724,125436753002 
2022-01-06 13:00,13951933,125730960759 
2022-01-06 14:00,13952231,155416970534 
2022-01-06 15:00,13952538,190564884466 
2022-01-06 16:00,13952828,158535218258 
2022-01-06 17:00,13953089,149261378546 
2022-01-06 18:00,13953365,131222229178 
2022-01-06 19:00,13953643,140980640423 
2022-01-06 20:00,13953915,153050598464 
2022-01-06 21:00,13954168,152536957276 
2022-01-06 22:00,13954437,149682835677 
2022-01-06 23:00,13954705,126203002330 
2022-01-07 0:00,13954974,248551438802 
2022-01-07 1:00,13955250,191871357004 
2022-01-07 2:00,13955532,159742608652 
2022-01-07 3:00,13955778,222270528849 
2022-01-07 4:00,13956027,227324430767 
2022-01-07 5:00,13956290,175175053518 
2022-01-07 6:00,13956557,138038871979 
2022-01-07 7:00,13956836,147721596042 
2022-01-07 8:00,13957129,147373977617 
2022-01-07 9:00,13957394,120145326655 
